================ Training Loss (Fri Jul 28 23:57:34 2023) ================
================ Training Loss (Fri Jul 28 23:57:38 2023) ================
================ Training Loss (Fri Jul 28 23:57:44 2023) ================
================ Training Loss (Fri Jul 28 23:57:45 2023) ================
[epoch:1   , step:12150 ]coarse_loss: 0.015fine_loss: 1.002c_psnr: 18.239f_psnr: 21.028
[epoch:1   , step:12375 ]coarse_loss: 0.015fine_loss: 1.009c_psnr: 18.110f_psnr: 21.000
[epoch:1   , step:12600 ]coarse_loss: 0.016fine_loss: 1.017c_psnr: 18.074f_psnr: 20.873
[epoch:1   , step:12825 ]coarse_loss: 0.016fine_loss: 1.015c_psnr: 18.102f_psnr: 20.805
[epoch:1   , step:13050 ]coarse_loss: 0.015fine_loss: 0.994c_psnr: 18.260f_psnr: 21.268
[epoch:1   , step:13275 ]coarse_loss: 0.015fine_loss: 1.017c_psnr: 18.184f_psnr: 20.721
[epoch:1   , step:13500 ]coarse_loss: 0.014fine_loss: 1.014c_psnr: 18.567f_psnr: 21.040
[epoch:1   , step:13500 ]coarse_psnr: 16.557fine_psnr:: 18.073
[epoch:1   , step:13725 ]coarse_loss: 0.015fine_loss: 1.012c_psnr: 18.339f_psnr: 20.994
[epoch:1   , step:13950 ]coarse_loss: 0.014fine_loss: 1.002c_psnr: 18.593f_psnr: 21.107
[epoch:1   , step:14175 ]coarse_loss: 0.014fine_loss: 0.984c_psnr: 18.455f_psnr: 21.461
[epoch:1   , step:14400 ]coarse_loss: 0.014fine_loss: 0.997c_psnr: 18.592f_psnr: 21.110
[epoch:1   , step:14625 ]coarse_loss: 0.014fine_loss: 0.995c_psnr: 18.693f_psnr: 21.216
[epoch:1   , step:14850 ]coarse_loss: 0.016fine_loss: 1.012c_psnr: 18.050f_psnr: 20.702
[epoch:1   , step:15075 ]coarse_loss: 0.015fine_loss: 1.003c_psnr: 18.253f_psnr: 20.985
[epoch:1   , step:15300 ]coarse_loss: 0.014fine_loss: 1.000c_psnr: 18.503f_psnr: 21.151
[epoch:1   , step:15525 ]coarse_loss: 0.013fine_loss: 0.975c_psnr: 18.748f_psnr: 21.556
[epoch:1   , step:15750 ]coarse_loss: 0.014fine_loss: 0.998c_psnr: 18.474f_psnr: 21.265
[epoch:1   , step:15975 ]coarse_loss: 0.015fine_loss: 1.021c_psnr: 18.335f_psnr: 20.610
[epoch:1   , step:16200 ]coarse_loss: 0.014fine_loss: 1.006c_psnr: 18.702f_psnr: 20.919
[epoch:1   , step:16425 ]coarse_loss: 0.013fine_loss: 0.972c_psnr: 18.846f_psnr: 21.759
[epoch:1   , step:16650 ]coarse_loss: 0.015fine_loss: 1.010c_psnr: 18.274f_psnr: 20.881
[epoch:1   , step:16875 ]coarse_loss: 0.014fine_loss: 1.004c_psnr: 18.519f_psnr: 20.925
[epoch:1   , step:17100 ]coarse_loss: 0.014fine_loss: 1.012c_psnr: 18.494f_psnr: 21.092
[epoch:1   , step:17325 ]coarse_loss: 0.013fine_loss: 0.979c_psnr: 18.713f_psnr: 21.462
[epoch:1   , step:17550 ]coarse_loss: 0.013fine_loss: 0.977c_psnr: 18.795f_psnr: 21.607
[epoch:1   , step:17775 ]coarse_loss: 0.014fine_loss: 1.014c_psnr: 18.416f_psnr: 21.003
[epoch:1   , step:18000 ]coarse_loss: 0.014fine_loss: 0.999c_psnr: 18.595f_psnr: 21.168
[epoch:1   , step:18225 ]coarse_loss: 0.014fine_loss: 0.996c_psnr: 18.698f_psnr: 21.215
[epoch:1   , step:18450 ]coarse_loss: 0.014fine_loss: 1.007c_psnr: 18.706f_psnr: 21.258
[epoch:1   , step:18675 ]coarse_loss: 0.014fine_loss: 1.002c_psnr: 18.540f_psnr: 21.052
[epoch:1   , step:18900 ]coarse_loss: 0.014fine_loss: 1.007c_psnr: 18.511f_psnr: 21.072
[epoch:1   , step:19125 ]coarse_loss: 0.013fine_loss: 0.984c_psnr: 18.719f_psnr: 21.522
[epoch:1   , step:19350 ]coarse_loss: 0.013fine_loss: 0.997c_psnr: 18.718f_psnr: 21.227
[epoch:1   , step:19575 ]coarse_loss: 0.014fine_loss: 1.011c_psnr: 18.560f_psnr: 21.033
[epoch:1   , step:19800 ]coarse_loss: 0.014fine_loss: 1.001c_psnr: 18.523f_psnr: 21.135
[epoch:1   , step:20025 ]coarse_loss: 0.014fine_loss: 0.991c_psnr: 18.630f_psnr: 21.132
[epoch:1   , step:20250 ]coarse_loss: 0.014fine_loss: 0.990c_psnr: 18.707f_psnr: 21.167
[epoch:1   , step:20250 ]coarse_psnr: 16.489fine_psnr:: 18.267
[epoch:1   , step:20475 ]coarse_loss: 0.013fine_loss: 0.984c_psnr: 18.897f_psnr: 21.517
[epoch:1   , step:20700 ]coarse_loss: 0.014fine_loss: 0.998c_psnr: 18.613f_psnr: 21.185
