================ Training Loss (Mon Jul 31 17:25:20 2023) ================
================ Training Loss (Mon Jul 31 17:25:20 2023) ================
================ Training Loss (Mon Jul 31 17:25:20 2023) ================
================ Training Loss (Mon Jul 31 17:25:20 2023) ================
[epoch:1   , step:12150 ]coarse_loss: 0.008fine_loss: 0.560c_psnr: 20.764f_psnr: 21.115
[epoch:1   , step:12375 ]coarse_loss: 0.008fine_loss: 0.602c_psnr: 20.718f_psnr: 20.867
[epoch:1   , step:12600 ]coarse_loss: 0.009fine_loss: 0.575c_psnr: 20.618f_psnr: 20.892
[epoch:1   , step:12825 ]coarse_loss: 0.008fine_loss: 0.538c_psnr: 20.940f_psnr: 21.213
[epoch:1   , step:13050 ]coarse_loss: 0.008fine_loss: 0.544c_psnr: 20.926f_psnr: 21.134
[epoch:1   , step:13275 ]coarse_loss: 0.008fine_loss: 0.545c_psnr: 20.957f_psnr: 21.228
[epoch:1   , step:13500 ]coarse_loss: 0.008fine_loss: 0.530c_psnr: 20.749f_psnr: 21.088
[epoch:1   , step:13500 ]coarse_psnr: 20.937fine_psnr:: 21.667
[epoch:1   , step:13725 ]coarse_loss: 0.008fine_loss: 0.567c_psnr: 20.798f_psnr: 21.147
[epoch:1   , step:13950 ]coarse_loss: 0.008fine_loss: 0.574c_psnr: 20.778f_psnr: 20.922
[epoch:1   , step:14175 ]coarse_loss: 0.008fine_loss: 0.541c_psnr: 20.947f_psnr: 21.471
[epoch:1   , step:14400 ]coarse_loss: 0.008fine_loss: 0.538c_psnr: 20.820f_psnr: 21.332
[epoch:1   , step:14625 ]coarse_loss: 0.008fine_loss: 0.531c_psnr: 21.209f_psnr: 21.440
[epoch:1   , step:14850 ]coarse_loss: 0.008fine_loss: 0.544c_psnr: 20.913f_psnr: 21.040
[epoch:1   , step:15075 ]coarse_loss: 0.008fine_loss: 0.550c_psnr: 21.017f_psnr: 21.082
[epoch:1   , step:15300 ]coarse_loss: 0.008fine_loss: 0.548c_psnr: 20.880f_psnr: 21.011
[epoch:1   , step:15525 ]coarse_loss: 0.008fine_loss: 0.540c_psnr: 21.112f_psnr: 21.196
[epoch:1   , step:15750 ]coarse_loss: 0.008fine_loss: 0.536c_psnr: 20.890f_psnr: 21.126
[epoch:1   , step:15975 ]coarse_loss: 0.008fine_loss: 0.538c_psnr: 20.866f_psnr: 21.248
[epoch:1   , step:16200 ]coarse_loss: 0.007fine_loss: 0.488c_psnr: 21.621f_psnr: 21.749
[epoch:1   , step:16425 ]coarse_loss: 0.008fine_loss: 0.532c_psnr: 20.959f_psnr: 21.251
[epoch:1   , step:16650 ]coarse_loss: 0.007fine_loss: 0.505c_psnr: 21.457f_psnr: 21.772
[epoch:1   , step:16875 ]coarse_loss: 0.007fine_loss: 0.493c_psnr: 21.484f_psnr: 21.799
[epoch:1   , step:17100 ]coarse_loss: 0.008fine_loss: 0.507c_psnr: 21.131f_psnr: 21.478
[epoch:1   , step:17325 ]coarse_loss: 0.008fine_loss: 0.504c_psnr: 21.111f_psnr: 21.554
[epoch:1   , step:17550 ]coarse_loss: 0.007fine_loss: 0.505c_psnr: 21.305f_psnr: 21.650
[epoch:1   , step:17775 ]coarse_loss: 0.007fine_loss: 0.511c_psnr: 21.283f_psnr: 21.666
[epoch:1   , step:18000 ]coarse_loss: 0.007fine_loss: 0.493c_psnr: 21.626f_psnr: 22.162
[epoch:1   , step:18225 ]coarse_loss: 0.007fine_loss: 0.497c_psnr: 21.298f_psnr: 21.928
[epoch:1   , step:18450 ]coarse_loss: 0.008fine_loss: 0.504c_psnr: 21.165f_psnr: 21.437
[epoch:1   , step:18675 ]coarse_loss: 0.008fine_loss: 0.516c_psnr: 21.252f_psnr: 21.692
[epoch:1   , step:18900 ]coarse_loss: 0.007fine_loss: 0.476c_psnr: 21.422f_psnr: 21.908
[epoch:1   , step:19125 ]coarse_loss: 0.007fine_loss: 0.457c_psnr: 21.433f_psnr: 21.670
