================ Training Loss (Tue Aug  1 15:47:31 2023) ================
================ Training Loss (Tue Aug  1 15:47:31 2023) ================
================ Training Loss (Tue Aug  1 15:47:32 2023) ================
================ Training Loss (Tue Aug  1 15:47:32 2023) ================
[epoch:1   , step:11250 ]coarse_loss: 0.009 fine_loss: 3.007 c_psnr: 20.653 f_psnr: 21.806 
[epoch:1   , step:11475 ]coarse_loss: 0.008 fine_loss: 3.007 c_psnr: 20.907 f_psnr: 21.778 
[epoch:1   , step:11700 ]coarse_loss: 0.009 fine_loss: 3.007 c_psnr: 20.611 f_psnr: 21.562 
[epoch:1   , step:11925 ]coarse_loss: 0.008 fine_loss: 3.007 c_psnr: 20.848 f_psnr: 21.775 
[epoch:1   , step:12150 ]coarse_loss: 0.008 fine_loss: 3.007 c_psnr: 20.774 f_psnr: 21.733 
[epoch:1   , step:12375 ]coarse_loss: 0.009 fine_loss: 3.007 c_psnr: 20.467 f_psnr: 21.647 
[epoch:1   , step:12600 ]coarse_loss: 0.009 fine_loss: 3.007 c_psnr: 20.636 f_psnr: 21.582 
[epoch:1   , step:12825 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 21.023 f_psnr: 22.006 
[epoch:1   , step:13050 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 20.906 f_psnr: 22.076 
[epoch:1   , step:13275 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 20.996 f_psnr: 22.141 
[epoch:1   , step:13500 ]coarse_loss: 0.008 fine_loss: 3.007 c_psnr: 20.789 f_psnr: 21.722 
[epoch:1   , step:13500 ]coarse_psnr: 20.925 fine_psnr:: 22.253 
[epoch:1   , step:13725 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 20.781 f_psnr: 22.218 
[epoch:1   , step:13950 ]coarse_loss: 0.009 fine_loss: 3.007 c_psnr: 20.683 f_psnr: 21.768 
[epoch:1   , step:14175 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 20.950 f_psnr: 21.995 
[epoch:1   , step:14400 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 20.946 f_psnr: 22.013 
[epoch:1   , step:14625 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 21.105 f_psnr: 22.248 
[epoch:1   , step:14850 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 20.846 f_psnr: 22.070 
[epoch:1   , step:15075 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 20.895 f_psnr: 22.165 
[epoch:1   , step:15300 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 20.730 f_psnr: 22.082 
[epoch:1   , step:15525 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 21.152 f_psnr: 22.308 
[epoch:1   , step:15750 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 20.960 f_psnr: 22.012 
[epoch:1   , step:15975 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 20.881 f_psnr: 22.212 
[epoch:1   , step:16200 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.622 f_psnr: 22.662 
[epoch:1   , step:16425 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 20.813 f_psnr: 21.933 
[epoch:1   , step:16650 ]coarse_loss: 0.007 fine_loss: 3.006 c_psnr: 21.277 f_psnr: 22.602 
[epoch:1   , step:16875 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.462 f_psnr: 22.656 
[epoch:1   , step:17100 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 21.032 f_psnr: 22.562 
[epoch:1   , step:17325 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 21.098 f_psnr: 22.346 
[epoch:1   , step:17550 ]coarse_loss: 0.008 fine_loss: 3.005 c_psnr: 21.152 f_psnr: 22.748 
[epoch:1   , step:17775 ]coarse_loss: 0.007 fine_loss: 3.006 c_psnr: 21.276 f_psnr: 22.514 
[epoch:1   , step:18000 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.680 f_psnr: 22.984 
[epoch:1   , step:18225 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.384 f_psnr: 22.694 
[epoch:1   , step:18450 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 21.081 f_psnr: 22.407 
[epoch:1   , step:18675 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 21.151 f_psnr: 22.460 
[epoch:1   , step:18900 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.498 f_psnr: 22.978 
[epoch:1   , step:19125 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.405 f_psnr: 22.667 
[epoch:1   , step:19350 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.429 f_psnr: 22.709 
[epoch:1   , step:19575 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.451 f_psnr: 22.747 
[epoch:1   , step:19800 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.421 f_psnr: 22.865 
[epoch:1   , step:20025 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 20.951 f_psnr: 22.179 
[epoch:1   , step:20250 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.616 f_psnr: 22.911 
[epoch:1   , step:20250 ]coarse_psnr: 21.263 fine_psnr:: 22.712 
[epoch:1   , step:20475 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.300 f_psnr: 22.686 
[epoch:1   , step:20700 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.657 f_psnr: 22.847 
[epoch:1   , step:20925 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.415 f_psnr: 22.741 
[epoch:1   , step:21150 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 21.167 f_psnr: 22.555 
[epoch:1   , step:21375 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.429 f_psnr: 22.923 
[epoch:1   , step:21600 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.543 f_psnr: 22.872 
[epoch:1   , step:21825 ]coarse_loss: 0.008 fine_loss: 3.005 c_psnr: 21.234 f_psnr: 22.822 
[epoch:1   , step:22050 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.310 f_psnr: 22.620 
[epoch:1   , step:22275 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.601 f_psnr: 23.029 
[epoch:1   , step:22500 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.465 f_psnr: 22.688 
[epoch:1   , step:22725 ]coarse_loss: 0.008 fine_loss: 3.006 c_psnr: 21.128 f_psnr: 22.569 
[epoch:1   , step:22950 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.602 f_psnr: 22.874 
[epoch:1   , step:23175 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.264 f_psnr: 22.676 
[epoch:1   , step:23400 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.571 f_psnr: 22.892 
[epoch:1   , step:23625 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.417 f_psnr: 22.980 
[epoch:1   , step:23850 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.716 f_psnr: 23.022 
[epoch:1   , step:24075 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.536 f_psnr: 22.845 
[epoch:1   , step:24300 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.884 f_psnr: 23.337 
[epoch:1   , step:24525 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.505 f_psnr: 22.618 
[epoch:1   , step:24750 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.644 f_psnr: 23.007 
[epoch:1   , step:24975 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.736 f_psnr: 23.006 
[epoch:1   , step:25200 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.837 f_psnr: 23.046 
[epoch:1   , step:25425 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.392 f_psnr: 22.901 
[epoch:1   , step:25650 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.837 f_psnr: 23.182 
[epoch:1   , step:25875 ]coarse_loss: 0.007 fine_loss: 3.004 c_psnr: 21.869 f_psnr: 23.572 
[epoch:1   , step:26100 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.871 f_psnr: 23.228 
[epoch:1   , step:26325 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.487 f_psnr: 23.066 
[epoch:1   , step:26550 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.787 f_psnr: 23.122 
[epoch:1   , step:26775 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.760 f_psnr: 23.081 
[epoch:1   , step:27000 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.599 f_psnr: 23.087 
[epoch:1   , step:27000 ]coarse_psnr: 21.260 fine_psnr:: 22.986 
[epoch:1   , step:27225 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.883 f_psnr: 23.338 
[epoch:1   , step:27450 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.670 f_psnr: 23.122 
[epoch:1   , step:27675 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.740 f_psnr: 23.041 
[epoch:1   , step:27900 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.739 f_psnr: 22.865 
[epoch:1   , step:28125 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.869 f_psnr: 23.132 
[epoch:1   , step:28350 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.304 f_psnr: 22.657 
[epoch:1   , step:28575 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.764 f_psnr: 23.234 
[epoch:1   , step:28800 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.808 f_psnr: 23.261 
[epoch:1   , step:29025 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.608 f_psnr: 23.197 
[epoch:1   , step:29250 ]coarse_loss: 0.006 fine_loss: 3.005 c_psnr: 22.052 f_psnr: 23.318 
[epoch:1   , step:29475 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.495 f_psnr: 22.948 
[epoch:1   , step:29700 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.380 f_psnr: 22.861 
[epoch:1   , step:29925 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.823 f_psnr: 23.173 
[epoch:1   , step:30150 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.756 f_psnr: 23.393 
[epoch:1   , step:30375 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.693 f_psnr: 23.293 
[epoch:1   , step:30600 ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.019 f_psnr: 23.779 
[epoch:1   , step:30825 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.529 f_psnr: 23.072 
[epoch:1   , step:31050 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.480 f_psnr: 23.136 
[epoch:1   , step:31275 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.649 f_psnr: 23.158 
[epoch:1   , step:31500 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.758 f_psnr: 23.285 
[epoch:1   , step:31725 ]coarse_loss: 0.006 fine_loss: 3.005 c_psnr: 22.013 f_psnr: 23.390 
[epoch:1   , step:31950 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.738 f_psnr: 23.165 
[epoch:1   , step:32175 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.861 f_psnr: 23.232 
[epoch:1   , step:32400 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.729 f_psnr: 23.334 
[epoch:1   , step:32625 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.639 f_psnr: 23.411 
[epoch:1   , step:32850 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.432 f_psnr: 23.156 
[epoch:1   , step:33075 ]coarse_loss: 0.006 fine_loss: 3.005 c_psnr: 21.966 f_psnr: 23.309 
[epoch:1   , step:33300 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.712 f_psnr: 23.324 
[epoch:1   , step:33525 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.816 f_psnr: 23.202 
[epoch:1   , step:33750 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.858 f_psnr: 23.387 
[epoch:1   , step:33750 ]coarse_psnr: 21.487 fine_psnr:: 23.267 
[epoch:1   , step:33975 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.794 f_psnr: 23.120 
[epoch:1   , step:34200 ]coarse_loss: 0.006 fine_loss: 3.005 c_psnr: 22.046 f_psnr: 23.463 
[epoch:1   , step:34425 ]coarse_loss: 0.006 fine_loss: 3.005 c_psnr: 21.981 f_psnr: 23.434 
[epoch:1   , step:34650 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.384 f_psnr: 22.972 
[epoch:1   , step:34875 ]coarse_loss: 0.006 fine_loss: 3.005 c_psnr: 21.951 f_psnr: 23.304 
[epoch:1   , step:35100 ]coarse_loss: 0.006 fine_loss: 3.005 c_psnr: 22.083 f_psnr: 23.401 
[epoch:1   , step:35325 ]coarse_loss: 0.006 fine_loss: 3.005 c_psnr: 21.907 f_psnr: 23.414 
[epoch:1   , step:35550 ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.031 f_psnr: 23.782 
[epoch:1   , step:35775 ]coarse_loss: 0.007 fine_loss: 3.004 c_psnr: 21.836 f_psnr: 23.541 
[epoch:1   , step:36000 ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.084 f_psnr: 23.504 
[epoch:1   , step:36225 ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.118 f_psnr: 23.491 
[epoch:1   , step:36450 ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.399 f_psnr: 23.868 
[epoch:1   , step:36675 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.778 f_psnr: 23.333 
[epoch:1   , step:36900 ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.360 f_psnr: 23.781 
[epoch:1   , step:37125 ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.211 f_psnr: 24.004 
[epoch:1   , step:37350 ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.686 f_psnr: 23.297 
[epoch:2   , step:75    ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.190 f_psnr: 23.843 
[epoch:2   , step:300   ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.796 f_psnr: 23.266 
[epoch:2   , step:525   ]coarse_loss: 0.006 fine_loss: 3.005 c_psnr: 22.008 f_psnr: 23.474 
[epoch:2   , step:750   ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.723 f_psnr: 23.404 
[epoch:2   , step:975   ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 21.995 f_psnr: 23.653 
[epoch:2   , step:1200  ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.684 f_psnr: 23.415 
[epoch:2   , step:1425  ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.800 f_psnr: 23.400 
[epoch:2   , step:1650  ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.829 f_psnr: 23.154 
[epoch:2   , step:1875  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.182 f_psnr: 23.879 
[epoch:2   , step:2100  ]coarse_loss: 0.006 fine_loss: 3.005 c_psnr: 22.013 f_psnr: 23.269 
[epoch:2   , step:2325  ]coarse_loss: 0.007 fine_loss: 3.004 c_psnr: 21.876 f_psnr: 23.525 
[epoch:2   , step:2550  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.116 f_psnr: 23.680 
[epoch:2   , step:2775  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 21.987 f_psnr: 23.626 
[epoch:2   , step:3000  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.072 f_psnr: 23.669 
[epoch:2   , step:3000  ]coarse_psnr: 21.693 fine_psnr:: 23.408 
[epoch:2   , step:3225  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 21.880 f_psnr: 23.596 
[epoch:2   , step:3450  ]coarse_loss: 0.006 fine_loss: 3.005 c_psnr: 21.991 f_psnr: 23.369 
[epoch:2   , step:3675  ]coarse_loss: 0.006 fine_loss: 3.005 c_psnr: 21.955 f_psnr: 23.384 
[epoch:2   , step:3900  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.056 f_psnr: 23.521 
[epoch:2   , step:4125  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.073 f_psnr: 23.618 
[epoch:2   , step:4350  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 21.961 f_psnr: 23.643 
[epoch:2   , step:4575  ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.769 f_psnr: 23.374 
[epoch:2   , step:4800  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 21.926 f_psnr: 23.665 
[epoch:2   , step:5025  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 21.996 f_psnr: 23.718 
[epoch:2   , step:5250  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.094 f_psnr: 23.608 
[epoch:2   , step:5475  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.053 f_psnr: 23.643 
[epoch:2   , step:5700  ]coarse_loss: 0.006 fine_loss: 3.005 c_psnr: 21.977 f_psnr: 23.455 
[epoch:2   , step:5925  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 21.985 f_psnr: 23.735 
[epoch:2   , step:6150  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 21.950 f_psnr: 23.780 
[epoch:2   , step:6375  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.342 f_psnr: 23.917 
[epoch:2   , step:6600  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.077 f_psnr: 23.652 
[epoch:2   , step:6825  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.134 f_psnr: 23.583 
[epoch:2   , step:7050  ]coarse_loss: 0.006 fine_loss: 3.005 c_psnr: 21.989 f_psnr: 23.421 
[epoch:2   , step:7275  ]coarse_loss: 0.007 fine_loss: 3.004 c_psnr: 21.724 f_psnr: 23.521 
[epoch:2   , step:7500  ]coarse_loss: 0.007 fine_loss: 3.005 c_psnr: 21.800 f_psnr: 23.415 
[epoch:2   , step:7725  ]coarse_loss: 0.007 fine_loss: 3.004 c_psnr: 21.817 f_psnr: 23.560 
[epoch:2   , step:7950  ]coarse_loss: 0.007 fine_loss: 3.004 c_psnr: 21.864 f_psnr: 23.535 
[epoch:2   , step:8175  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.138 f_psnr: 23.585 
[epoch:2   , step:8400  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.065 f_psnr: 23.777 
[epoch:2   , step:8625  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 21.926 f_psnr: 23.723 
[epoch:2   , step:8850  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 21.963 f_psnr: 23.713 
[epoch:2   , step:9075  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.236 f_psnr: 23.837 
[epoch:2   , step:9300  ]coarse_loss: 0.007 fine_loss: 3.004 c_psnr: 21.820 f_psnr: 23.790 
[epoch:2   , step:9525  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.038 f_psnr: 23.746 
[epoch:2   , step:9750  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.162 f_psnr: 24.015 
[epoch:2   , step:9750  ]coarse_psnr: 21.705 fine_psnr:: 23.621 
[epoch:2   , step:9975  ]coarse_loss: 0.006 fine_loss: 3.004 c_psnr: 22.110 f_psnr: 23.881 
